# Time

## Protobuf

### Without

    real 781.91
    user 777.44
    sys 3.14

### With

    real 1095.78
    user 1063.89
    sys 3.98

## LevelDB

### Without

    real 292.07
    user 290.71
    sys 1.30

### With

    real 307.75
    user 306.33
    sys 1.36

## fish

### Without

    real 234.37
    user 231.72
    sys 1.65

### With

    real 309.30
    user 306.52
    sys 1.76

## Mosh

### Without

    real 118.78
    user 117.56
    sys 0.82

### With

    real 149.78
    user 148.47
    sys 0.94

## LLVM

Doesn't run to completion with tool.

## Tesseract

### Without

    real 2664.05
    user 2644.30
    sys 13.72

### With

    real 2934.40
    user 2914.25
    sys 14.04

## Ninja

### Without

    real 81.40
    user 165.23
    sys 0.97

### With

    real 97.47
    user 196.98
    sys 1.12

## Wayland

### Without

    real 20.43
    user 11.81
    sys 0.48

### With

    real 23.45
    user 14.70
    sys 0.62

## Weston

### Without

    real 147.54
    user 138.57
    sys 3.73

### With

    real 189.55
    user 179.91
    sys 4.39
